index,id,title,genres,overview,release_date,credits,poster_path
50,838484,Choose or Die,Horror Thriller Science Fiction,In pursuit of an unclaimed $125000 prize a broke college dropout decides to play an obscure 1980s survival computer game. But the game curses her and she’s faced with dangerous choices and reality-warping challenges. After a series of unexpectedly terrifying moments she realizes she’s no longer playing for the money but for her life.,2022-04-15,IolaEvans AsaButterfield RobertEnglund AngelaGriffin RyanGage,/jEYE5BPFd5FuPa1judcjpW6xqKp.jpg
58,283995,Guardians of the Galaxy Vol. 2,Adventure Action Science Fiction,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,2017-04-19,ChrisPratt ZoeSaldaña DaveBautista VinDiesel BradleyCooper,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg
60,800815,The Pale Blue Eye,Mystery Crime Horror,West Point New York 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe,2022-12-22,ChristianBale HarryMelling LucyBoynton TobyJones SimonMcBurney,/9xkGlFRqrN8btTLU0KQvOfn2PHr.jpg
62,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Animation Action Adventure Fantasy Thriller,Tanjiro Kamado joined with Inosuke Hashibira a boy raised by boars who wears a boar's head and Zenitsu Agatsuma a scared boy who reveals his true power when he sleeps boards the Infinity Train on a new mission with the Fire Hashira Kyojuro Rengoku to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!,2020-10-16,NatsukiHanae AkariKito HiroShimono YoshitsuguMatsuoka SatoshiHino,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg
64,700391,65,Science Fiction Adventure Thriller,65 million years ago the only 2 survivors of a spaceship from Somaris that crash-landed on Earth must fend off dinosaurs and reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.,2023-03-02,AdamDriver ArianaGreenblatt ChloeColeman NikaKing BrianDare,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg
66,661374,Glass Onion: A Knives Out Mystery,Comedy Crime Mystery,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,2022-11-23,DanielCraig EdwardNorton JanelleMonáe KathrynHahn LeslieOdomJr.,/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg
69,899112,Violent Night,Action Comedy Crime Thriller,When a team of mercenaries breaks into a wealthy family compound on Christmas Eve taking everyone inside hostage the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds and he’s about to show why this Nick is no saint.,2022-11-30,DavidHarbour JohnLeguizamo BeverlyD'Angelo AlexHassell AlexisLouder,/1XSYOP0JjjyMz1irihvWywro82r.jpg
71,724495,The Woman King,Action Drama History,The story of the Agojie the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.,2022-09-16,ViolaDavis ThusoMbedu LashanaLynch SheilaAtim JohnBoyega,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg
72,616037,Thor: Love and Thunder,Fantasy Action Comedy,After his retirement is interrupted by Gorr the God Butcher a galactic killer who seeks the extinction of the gods Thor Odinson enlists the help of King Valkyrie Korg and ex-girlfriend Jane Foster who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.,2022-07-06,ChrisHemsworth NataliePortman ChristianBale TessaThompson TaikaWaititi,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg
73,385128,F9,Action Adventure Crime Thriller,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,2021-05-19,VinDiesel MichelleRodriguez TyreseGibson Ludacris JohnCena,/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg
75,361743,Top Gun: Maverick,Action Drama,After more than thirty years of service as one of the Navy’s top aviators and dodging the advancement in rank that would ground him Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.,2022-05-24,TomCruise MilesTeller JenniferConnelly JonHamm GlenPowell,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
77,325358,Superfast!,Comedy Action,Undercover cop Lucas White joins Vin Serento's LA gang of illegal street racers. They are fast and they are furious and they plan to double cross LA crime kingpin Juan Carlos de la Sol who hides his cash in a downtown Taco Bell. The gang's outrageous plan is as daring as it is ridiculous and will see them towing the whole restaurant at crazy speeds.,2015-03-05,AlexAshbaugh DalePavinski AndreaNavedo LiliMirojnick GonzaloMenendez,/iuIWl90qCpoxv6g775JB6Kg0m86.jpg
79,873126,My Name Is Vendetta,Action Crime Thriller,After old enemies kill his family a former mafia enforcer and his feisty daughter flee to Milan where they hide out while plotting their revenge.,2022-11-30,AlessandroGassmann GinevraFrancesconi RemoGirone AlessioPraticò FrancescoVillano,/7l3war94J4tRyWUiLAGokr3ViF2.jpg
80,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,Siblings Lucy Edmund Susan and Peter step through a magical wardrobe and find the land of Narnia. There they discover a charming once peaceful kingdom that has been plunged into eternal winter by the evil White Witch Jadis. Aided by the wise and magnificent lion Aslan the children lead Narnia into a spectacular climactic battle to be free of the Witch's glacial powers forever.,2005-12-07,GeorgieHenley SkandarKeynes WilliamMoseley AnnaPopplewell TildaSwinton,/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg
81,545611,Everything Everywhere All at Once,Action Adventure Science Fiction,An aging Chinese immigrant is swept up in an insane adventure where she alone can save what's important to her by connecting with the lives she could have led in other universes.,2022-03-24,MichelleYeoh StephanieHsu KeHuyQuan JamesHong JamieLeeCurtis,/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg
82,555604,Guillermo del Toro's Pinocchio,Animation Fantasy Drama Music,During the rise of fascism in Mussolini's Italy a wooden boy brought magically to life struggles to live up to his father's expectations.,2022-11-09,GregoryMann EwanMcGregor DavidBradley ChristophWaltz TildaSwinton,/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg
84,493529,Dungeons & Dragons: Honor Among Thieves,Adventure Fantasy Comedy,A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic but things go dangerously awry when they run afoul of the wrong people.,2023-03-23,ChrisPine MichelleRodriguez Regé JeanPage JusticeSmith,/A7AoNT06aRAc4SV89Dwxj3EYAgC.jpg
