index,id,title,genres,overview,release_date,credits,poster_path
8261,5994,The Family Man,Comedy Drama Romance Fantasy,Jack's lavish fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate his college sweetheart he left in order to pursue his career and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves.,2000-12-12,NicolasCage TéaLeoni DonCheadle JeremyPiven SaulRubinek,/zsedbiD7i2SepxIxb0F3U95mqyH.jpg
8263,9923,Domino,Action Crime,The story of the life of Domino Harvey who abandoned her career as a Ford model to become a bounty hunter.,2005-10-14,KeiraKnightley MickeyRourke EdgarRamírez DelroyLindo Mo'Nique,/pZdIfYkM5kV5BaUDYzwzgmpUxno.jpg
8264,7303,Maid in Manhattan,Comedy Drama Romance,Marisa Ventura is a struggling single mom who works at a posh Manhattan hotel and dreams of a better life for her and her young son. One fateful day hotel guest and senatorial candidate Christopher Marshall meets Marisa and mistakes her for a wealthy socialite. After an enchanting evening together the two fall madly in love. But when Marisa's true identity is revealed issues of class and social status threaten to separate them. Can two people from very different worlds overcome their differences and live happily ever after?,2002-12-13,JenniferLopez RalphFiennes NatashaRichardson StanleyTucci TylerPosey,/a0xOVDKEWW1nyArKFS3Fg1b4PsE.jpg
8268,9091,Sudden Death,Action,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,1995-10-27,Jean ClaudeVanDamme PowersBoothe RaymondJ.Barry WhittniWright,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
8271,339877,Loving Vincent,Animation Drama Mystery History,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,2017-06-22,DouglasBooth EleanorTomlinson RobertGulaczyk HelenMcCrory SaoirseRonan,/56sq57kDm7XgyXBYrgJLumo0Jac.jpg
8273,11864,Enemy Mine,Drama Science Fiction,A soldier from Earth crashlands on an alien world after sustaining battle damage. Eventually he encounters another survivor but from the enemy species he was fighting; they band together to survive on this hostile world. In the end the human finds himself caring for his enemy in a completely unexpected way.,1985-12-12,DennisQuaid LouisGossettJr. BrionJames RichardMarcus CarolynMcCormick,/a3dr9L8VIjhEvivzQ2M12VQDere.jpg
8278,9569,Hard to Kill,Action,Mason Storm a 'go it alone' cop is gunned down at home. The intruders kill his wife and think they've killed both Mason and his son too. Mason is secretly taken to a hospital where he spends several years in a coma. His son meanwhile is growing up thinking his father is dead. When Mason wakes up everyone is in danger - himself his son his best friend his nurse - but most of all those who arranged for his death,1990-02-09,StevenSeagal KellyLeBrock WilliamSadler FrederickCoffin BonnieBurroughs,/nmtMNxslljllSTVtt7VIOXdxSZp.jpg
8281,2313,Prime,Comedy Drama Romance,A career driven professional from Manhattan is wooed by a young painter who also happens to be the son of her psychoanalyst.,2005-09-21,UmaThurman BryanGreenberg MerylStreep JonAbrahams AnnieParisse,/zrkDF1gyedC2q0vCBVMNWkygND0.jpg
8284,9504,Glengarry Glen Ross,Crime Drama Mystery,When an office full of Chicago real estate salesmen is given the news that all but the top two will be fired at the end of the week the atmosphere begins to heat up. Shelley Levene who has a sick daughter does everything in his power to get better leads from his boss John Williamson but to no avail. When his coworker Dave Moss comes up with a plan to steal the leads things get complicated for the tough-talking salesmen.,1992-09-15,AlPacino JackLemmon AlecBaldwin AlanArkin EdHarris,/nGZCeCfNseq1ee3cJLBp0rH0djT.jpg
8287,68722,The Master,Drama,"Freddie a volatile heavy-drinking veteran who suffers from post-traumatic stress disorder finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd the charismatic leader of a new ""religion"" he forms after World War II.",2012-09-07,JoaquinPhoenix PhilipSeymourHoffman AmyAdams LauraDern JessePlemons,/k0F9v5vz4tYnWPwmVzEG7oRB8WU.jpg
8289,104755,The Lords of Salem,Horror Thriller,"Heidi a radio DJ is sent a box containing a record - a ""gift from the Lords"". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad or are the Lords back to take revenge on Salem Massachusetts?",2012-09-10,SheriMoonZombie BruceDavison JeffDanielPhillips JudyGeeson MegFoster,/nqZ6CGGZpQWt139YioekSYHvvkU.jpg
8290,31007,Welcome to the Rileys,Drama,Years after their teenage daughter’s death Lois and Doug Riley an upstanding Indiana couple are frozen by estranging grief. Doug escapes to New Orleans on a business trip. Compelled by urgencies he doesn’t understand he insinuates himself into the life of an underage hooker becoming her platonic guardian.,2010-10-29,KristenStewart JamesGandolfini MelissaLeo JoeChrest AllySheedy,/tt9pBPoXjFu36rPqObwrgkYCY3t.jpg
8291,1381,The Fountain,Drama Adventure Science Fiction Romance,Spanning over one thousand years and three parallel stories The Fountain is a story of love death spirituality and the fragility of our existence in this world.,2006-11-22,HughJackman RachelWeisz EllenBurstyn MarkMargolis StephenMcHattie,/tnmkVAYrHITpdKgmZ7CzVBEI4ho.jpg
8294,425505,Kin,Science Fiction Action,A young boy finds a powerful otherworldly weapon which he uses to save his older adoptive brother from a crew of thugs. Before long the two of them are also pursued by federal agents and mysterious mercenaries aiming to reclaim their asset.,2018-08-29,MylesTruitt JackReynor DennisQuaid ZoëKravitz JamesFranco,/oPE5GXHaTlu5eRcd4USuOX3A1mf.jpg
8297,392,Chocolat,Comedy Drama Romance,A mother and daughter move to a small French town where they open a chocolate shop. The town religious and morally strict is against them as they represent free-thinking and indulgence. When a group of Boat Gypsies float down the river the prejudice of the Mayor leads to a crisis.,2000-12-22,JulietteBinoche AlfredMolina JohnnyDepp JudiDench LeslieCaron,/jPNmQq23eNbKFVPZnY5Kxc63MvW.jpg
8298,9978,Stormbreaker,Adventure Action Family,Alex Rider thinks he is a normal school boy until his uncle is killed. He discovers that his uncle was actually spy on a mission when he was killed. Alex is recruited by Alan Blunt to continue the mission. He is sent to Cornwall to investigate a new computer system which Darrius Sayle has created. He plans to give the new computer systems to every school in the country but Mr. Blunt has other ideas and Alex must find out what it is.,2006-07-21,AlexPettyfer SarahBolger EwanMcGregor RobbieColtrane StephenFry,/svxnQBJ82P28M2k7uaL7MmQdg9N.jpg
8299,9266,Blue Crush,Adventure Romance Drama,Nothing gets between Anne Marie and her board. Living in a beach shack with three roommates she is up before dawn every morning to conquer the waves and count the days until the Pipe Masters competition. Having transplanted herself to Hawaii with no one's blessing but her own Anne Marie finds all she needs in the adrenaline-charged surf scene - until pro quarterback Matt Tollman comes along...,2002-08-08,KateBosworth MatthewDavis MichelleRodriguez SanoeLake MikaBoorem,/iZSw0JVG0cIFuZoTHuQU3nmGT4k.jpg
8303,14433,Zulu,Action Drama History War,In 1879 during the Anglo-Zulu War man-of-the-people Lt. Chard and snooty Lt. Bromhead are in charge of defending the isolated and vastly outnumbered Natal outpost of Rorke's Drift from tribal hordes.,1964-01-22,StanleyBaker JackHawkins UllaJacobsson JamesBooth MichaelCaine,/9V7tl1kIb67ZPRRNlUdy3JvqEiA.jpg
8308,13596,My Best Friend's Girl,Romance Comedy,When Dustin's girlfriend Alexis breaks up with him he employs his best buddy Tank to take her out on the worst rebound date imaginable in the hopes that it will send her running back into his arms. But when Tank begins to really fall for Alexis he finds himself in an impossible position.,2008-09-19,DaneCook KateHudson JasonBiggs AlecBaldwin LizzyCaplan,/2PN16HJY0QoQrQDfbgopzwAUL0U.jpg
8313,19,Metropolis,Drama Science Fiction,In a futuristic city sharply divided between the rich and the poor the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.,1927-02-06,GustavFröhlich BrigitteHelm AlfredAbel RudolfKlein Rogge,/hUK9rewffKGqtXynH5SW3v9hzcu.jpg
8315,5551,Space Cowboys,Action Adventure Thriller,Frank Corvin ‘Hawk’ Hawkins Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus the Air Force's test program for space travel but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.,2000-08-04,ClintEastwood TommyLeeJones DonaldSutherland JamesGarner JamesCromwell,/hPzt1bbA1sUDQOl6Vujmyz2hjLN.jpg
8318,10437,The Muppet Christmas Carol,Music Comedy Family Fantasy Drama,A retelling of the classic Dickens tale of Ebenezer Scrooge miser extraordinaire. He is held accountable for his dastardly ways during night-time visitations by the Ghosts of Christmas Past Present and Future.,1992-12-10,MichaelCaine DaveGoelz SteveWhitmire JerryNelson FrankOz,/ssrV29QSVVJuemBHho0Qx7pFYak.jpg
8319,401,Garden State,Comedy Drama Romance,Andrew returns to his hometown for the funeral of his mother a journey that reconnects him with past friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments confronting his psychologist father and perhaps beginning a new life.,2004-07-28,ZachBraff NataliePortman IanHolm PeterSarsgaard JeanSmart,/h3iqYiGS6F3y7GxaS4AT8nFxZ2i.jpg
8320,12819,Alpha and Omega,Animation Family Comedy Adventure Romance,Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home but love complicates everything.,2010-09-17,HaydenPanettiere JustinLong DennisHopper ChristinaRicci DannyGlover,/7YVyH5sS6kLQRsSDF5dhhR0BWeh.jpg
8321,10150,The Last Unicorn,Fantasy Animation Family Adventure,From a riddle-speaking butterfly a unicorn learns that she is supposedly the last of her kind all the others having been herded away by the Red Bull. The unicorn sets out to discover the truth behind the butterfly's words. She is eventually joined on her quest by Schmendrick a second-rate magician and Molly Grue a now middle-aged woman who dreamed all her life of seeing a unicorn. Their journey leads them far from home all the way to the castle of King Haggard.,1982-11-19,AlanArkin JeffBridges MiaFarrow TammyGrimes RobertKlein,/2MhDPbadE2ha83qiFwUHPgmKLnV.jpg
8323,449574,Godzilla: Planet of the Monsters,Action Science Fiction Animation,A desperate group of refugees attempts to recolonize Earth 20000 years after Godzilla took over. But one young man wants revenge above all else.,2017-11-17,MamoruMiyano TakahiroSakurai KanaHanazawa TomokazuSugita YukiKaji,/hAuZ7g6TqDLv5fOqXIPgYRguOkm.jpg
8330,336011,White Girl,Drama,Summer New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong she goes to wild extremes to get him back.,2016-09-02,MorganSaylor BrianMarc JustinBartha ChrisNoth BobbiSalvörMenuez,/zBmIjDObX0qMQbTWn3qBAANopUx.jpg
8331,12435,The Nanny Diaries,Comedy Drama Romance,A college graduate goes to work as a nanny for a rich New York family. Ensconced in their home she has to juggle their dysfunction a new romance and the spoiled brat in her charge.,2007-08-24,ScarlettJohansson LauraLinney AliciaKeys ChrisEvans DonnaMurphy,/8hX6rcxnCidaqegPCyeFm9PODBn.jpg
8332,26371,Maurice,Drama Romance,After his lover rejects him a young man in early 20th century England trapped by the oppressiveness of Edwardian society tries to come to terms with and accept his sexuality.,1987-08-21,JamesWilby HughGrant RupertGraves DenholmElliott SimonCallow,/4MI2y8XViPrDiKs1p0QC4bTeZzf.jpg
8334,11595,Another 48 Hrs.,Thriller Action Comedy Crime Drama,For the past four years San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the Ice Man. Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond who is scheduled to be released from prison on the next day.,1990-06-08,EddieMurphy NickNolte BrionJames KevinTighe EdO'Ross,/2gQaZQ6REriS7Gclv1akT5Urwgf.jpg
8335,446791,All the Money in the World,Thriller Drama Crime History,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,2017-12-21,MichelleWilliams ChristopherPlummer MarkWahlberg RomainDuris TimothyHutton,/q6nE9Hf0ezszjI4DbCxwzQ73MMy.jpg
8337,203833,The Book Thief,Drama,While subjected to the horrors of WWII Germany young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home a Jewish refugee is being sheltered by her adoptive parents.,2013-11-08,GeoffreyRush SophieNélisse EmilyWatson NicoLiersch BenSchnetzer,/wj4U5sMLcJMa3WR9CpRR9e2sdgZ.jpg
8338,4958,The Legend of Bagger Vance,Drama Fantasy,World War I has left golfer Rannulph Junuh a poker-playing alcoholic his perfect swing gone. Now however he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.,2000-11-02,MattDamon WillSmith CharlizeTheron BruceMcGill JoelGretsch,/7jKjh9PZvHJYYtCycQmTbBoZVV4.jpg
8339,617505,Hubie Halloween,Comedy Mystery Horror,Hubie Dubois despite his devotion to his hometown of Salem Massachusetts (and its legendary Halloween celebration) is a figure of mockery for kids and adults alike. But this year something really is going bump in the night and it’s up to Hubie to save Halloween.,2020-10-07,AdamSandler KevinJames JulieBowen RayLiotta RobSchneider,/dbhC6qRydXyRmpUdcl9bL9rARya.jpg
8343,79316,Devil's Due,Horror,An unexpected pregnancy takes a terrifying turn for newlyweds Zach and Samantha McCall.,2014-01-08,ZachGilford AllisonMiller SamAnderson CatherineKresge AimeeCarrero,/lWeDTE31UJubMz74hNMVdFZG0Wr.jpg
8346,1727,Bird on a Wire,Action Adventure Comedy Romance,An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him and the bad guys are back for revenge.,1990-05-18,MelGibson GoldieHawn DavidCarradine BillDuke StephenTobolowsky,/vhsv2PrAPZ79ZpV64AJ2TiEI2zX.jpg
8350,102362,Dead Man Down,Thriller Action Crime Drama,In New York City a crime lord's right-hand man is seduced by a woman seeking retribution.,2013-03-08,ColinFarrell NoomiRapace TerrenceHoward DominicCooper IsabelleHuppert,/8xWo2WE36JdBwlCmwvXM4bb5rBg.jpg
8351,567860,Fyre,Documentary,He promised supermodels and yachts but delivered tents and cheese sandwiches. How one man engineered a music festival disaster.,2019-01-18,BillyMcFarland JaRule JasonBell GabrielleBluestone ShiyuanDeng,/yFsP0BAJhAH3RTXCAnGvI1CtaUb.jpg
8353,14208,The Librarian: Return to King Solomon's Mines,Fantasy Action Adventure,After retrieving the Crystal Skull in Utah Flynn Carsen receives a map in the mail with the secret location of King Solomon's Mines. When the scroll is stolen Judson explains the power of the Key of Solomon's book and assigns Flynn to retrieve the map. The map is useless without the legend piece to decipher it which is located in Volubilis near the Roman ruins in Morocco. Flynn heads to Casablanca to the ruins where he is chased by a group of mercenaries leaded by General Samir. They too want to find the location of King Solomon's mines. Flynn teams-up with Professor Emily Davenport working in the dig and they escape from General Samir and his men. While traveling to Gedi they save the local Jomo from death and the trio faces a dangerous journey through the wild Africa.,2006-09-09,NoahWyle GabrielleAnwar BobNewhart JaneCurtin OlympiaDukakis,/jK4BhFw9uNS6BKfAVlxX6Bnkj0J.jpg
8358,10092,Cry_Wolf,Horror Thriller,After a local woman is murdered a group of teenage liars create a warning e-mail of a serial killer named “The Wolf” coming on the next full moon. The teens describe each death method The Wolf uses but when the described victims actually do start turning up dead suddenly no one knows where the lies end and the truth begins.,2005-09-16,JulianMorris SandraMcCoy LindyBooth JonBonJovi JesseJanzen,/7OQ2McKYgnyfIHHkm0jBxQnu7ou.jpg
8359,2140,Kiss of the Dragon,Action Crime Thriller,Liu Jian an elite Chinese police officer comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder he must go into hiding and find new allies.,2001-07-06,JetLi BridgetFonda TchékyKaryo MaxRyan RicYoung,/A1GrGdX4AgCRDweg9X3x8JsZrEc.jpg
8361,663870,Riders of Justice,Action Comedy,Markus returns home to care for his daughter when his wife dies in a tragic train accident. However when a survivor of the wreck surfaces and claims foul play Markus suspects his wife was murdered and embarks on a mission to find those responsible.,2020-11-19,MadsMikkelsen NikolajLieKaas LarsBrygmann NicolasBro AndreaHeickGadeberg,/sshNnwmQLk720iBQ0dZg3GVGKfK.jpg
8362,22787,Whiteout,Action Crime Mystery Thriller,The only U.S. Marshal assigned to Antarctica Carrie Stetko will soon leave the harsh environment behind for good – in three days the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life.,2009-09-09,KateBeckinsale GabrielMacht TomSkerritt ColumbusShort ShawnDoyle,/kkXXA3353MX60B8PRSkTGRabxXu.jpg
8363,13195,Flawless,Crime Drama Thriller,A female executive and a night janitor conspire to commit a daring diamond heist from their mutual employer The London Diamond Corporation.,2007-09-01,DemiMoore MichaelCaine LambertWilson NathanielParker ShaughanSeymour,/qENzVKfdyNBAwShcS0YhWeJe34M.jpg
8365,10785,The Thing from Another World,Drama Horror Science Fiction,Scientists and US Air Force officials fend off a blood-thirsty alien organism while investigating at a remote arctic outpost.,1951-04-05,KennethTobey MargaretSheridan RobertCornthwaite DouglasSpencer JamesYoung,/rm2w8dEhOGDuckB6i0Spz9lTzpR.jpg
8366,15003,Chocolate,Action Comedy Crime,Zen an autistic teenage girl with powerful martial arts skills gets money to pay for her sick mother Zin's treatment by seeking out all the people who owe Zin money and making them pay.,2008-02-06,JeeJaYanin HiroshiAbe PongpatWachirabunjong TaphonPhopwandee AmmaraSiripong,/g8CBVNFdJOGINQW2KuOvl5NAPS5.jpg
8370,24056,The Tournament,Horror Action Thriller,Every ten or seven years in an unsuspecting town The Tournament takes place. A battle royale between 30 of the world's deadliest assassins. The last man standing receiving the $10000000 cash prize and the title of Worlds No 1 which itself carries the legendary million dollar a bullet price tag.,2009-05-01,VingRhames RobertCarlyle IanSomerhalder KellyHu LiamCunningham,/zVkPQAIoCNDc8khNjmSAiTb3lV5.jpg
8372,568467,Ammonite,Romance Drama,In 1840s England palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.,2020-11-13,KateWinslet SaoirseRonan GemmaJones JamesMcArdle AlecSecăreanu,/5lx4pUHWZoOKJWsVsvurRRNW9FK.jpg
8379,369557,Sing Street,Comedy Romance Drama Music,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,2016-03-11,FerdiaWalsh Peelo LucyBoynton MariaDoyleKennedy AidanGillen,/sUWpVlrvzU2SJbnVZqIeKulPKwk.jpg
8380,24226,The Verdict,Drama,Frank Galvin is a down-on-his-luck lawyer and reduced to drinking and ambulance chasing when a former associate reminds him of his obligations in a medical malpractice suit by serving it to Galvin on a silver platter—all parties are willing to settle out of court. Blundering his way through the preliminaries Galvin suddenly realizes that the case should actually go to court—to punish the guilty to get a decent settlement for his clients... and to restore his standing as a lawyer.,1982-12-08,PaulNewman CharlotteRampling JackWarden JamesMason MiloO’Shea,/iYEuFP1bpj5yOenKliiRFcNO3VE.jpg
8381,25196,Crazy Heart,Drama Music Romance,When reporter Jean Craddock interviews Bad Blake—an alcoholic seen-better-days country music legend—they connect and the hard-living crooner sees a possible saving grace in a life with Jean and her young son.,2009-12-16,JeffBridges ColinFarrell MaggieGyllenhaal RobertDuvall TomBower,/zwao2YMsqf27IzNEtDNWSe0W9jH.jpg
8383,12689,"Angus, Thongs and Perfect Snogging",Comedy Drama Family Romance,Georgia Nicolson is fourteen lives with nosey parents who don't understand her an annoying three year old sister and has to wear a beret to school. She would however rather be blonde have a smaller nose and a boyfriend. Revolving around her hilarious journal entries prepare to be engulfed in the world of the soaring joys and bottomless angst of being a teenager.,2008-07-25,GeorgiaGroome EleanorTomlinson AaronTaylor Johnson TommyBastow,/3WLMr49X84qGiFn1pkCyhS5SEBZ.jpg
8386,11569,Hellraiser III: Hell on Earth,Horror,Pinhead is trapped in the Pillar of Souls. Fortunately for him it is bought by a young playboy who owns his own nightclub. Pinhead busies himself escaping by getting the playboy to lure victims to his presence so he can use their blood. Once free he seeks to destroy the puzzle box so he need never return to Hell but a female reporter is investigating the grisly murders and stands in his way.,1992-09-11,TerryFarrell DougBradley KevinBernhardt KenCarpenter PaulaMarshall,/eBKrmVD29BQGDlWQJ3rKS8cmPGh.jpg
8387,14175,Valiant,Family Animation Adventure Comedy War,Set in 1944 Valiant is a woodland pigeon who wants to become a great hero someday. When he hears they are hiring recruits for the Royal Homing Pigeon Service he immediately sets out for London. On the way he meets a smelly but friendly pigeon named Bugsy who joins him mainly to get away from clients he cheated in a game of find-the pebble and helps him sign up for the war.,2005-03-25,EwanMcGregor RickyGervais TimCurry JimBroadbent HughLaurie,/chtAKvXb897I2Pn8HOkV4TC5Jzz.jpg
8391,387,Das Boot,Drama History War,A German submarine hunts allied ships during the Second World War but it soon becomes the hunted. The crew tries to survive below the surface while stretching both the boat and themselves to their limits.,1981-09-17,JürgenProchnow HerbertGrönemeyer KlausWennemann HubertusBengsch MartinSemmelrogge,/fSI5yoee0mBxwNyCvf8m3B5tFMu.jpg
8392,16340,Rugrats in Paris: The Movie,Family Animation Adventure Comedy,A group of rambunctious toddlers travel a trip to Paris. As they journey from the Eiffel Tower to Notre Dame they learn new lessons about trust loyalty and love.,2000-11-17,ElizabethDaily SusanSarandon JohnLithgow TaraStrong ChristineCavanaugh,/2cmAmuptfvjaLtgynKwO0EU2urG.jpg
8394,25913,Balto II: Wolf Quest,Family Animation Adventure,Balto and his daughter Aleu embark on a journey of adventure and self discovery.,2002-02-19,MauriceLaMarche JodiBenson LaceyChabert DavidCarradine MarkHamill,/dZ958HnW3JO2pEZeedjmoZCV8Rn.jpg
8397,10673,Wall Street,Crime Drama,A young and impatient stockbroker is willing to do anything to get to the top including trading on illegal inside information taken through a ruthless and greedy corporate raider whom takes the youth under his wing.,1987-12-10,CharlieSheen MichaelDouglas MartinSheen DarylHannah JohnC.McGinley,/2tQYq9ntzn2dEwDIGLBSipYPenv.jpg
8402,11967,Young Guns,Western Crime Action Adventure,A group of young gunmen led by Billy the Kid become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far they become the hunted.,1988-02-17,EmilioEstevez KieferSutherland LouDiamondPhillips CharlieSheen DermotMulroney,/stvh1A3mj8NYyczE7RvwdtDRCo2.jpg
8403,12797,Ghost Town,Drama Comedy Fantasy,Bertram Pincus a cranky people-hating Manhattan dentist develops the unwelcome ability to see dead people. Really annoying dead people. Even worse they all want something from him particularly Frank Herlihy a smooth-talking ghost who pesters him into a romantic scheme involving his widow Gwen. They are soon entangled in a hilarious predicament between the now and the hereafter!,2008-09-19,RickyGervais GregKinnear TéaLeoni BillyCampbell AasifMandvi,/b8VS14DwpLlugTxVWSllYU0Gjn5.jpg
8408,6404,Nosferatu the Vampyre,Drama Horror,Jonathan Harker a real estate agent goes to Transylvania to visit the mysterious Count Dracula and formalize the purchase of a property in Wismar. Once Jonathan is caught under his evil spell Dracula travels to Wismar where he meets the beautiful Lucy Jonathan's wife while a plague spreads through the town now ruled by death.,1979-01-17,KlausKinski IsabelleAdjani BrunoGanz RolandTopor WalterLadengast,/g7fEH8uafDHYDHOafRPkoud0Tjy.jpg
8410,10366,Universal Soldier: The Return,Action Science Fiction,Luc Deveraux the heroic former Universal Soldier is about to be thrown into action once again. When SETH the supercomputer-controlled ultra-warrior decides to take revenge and destroy its creators only Luc can stop it. All hell breaks loose as Luc battles SETH and a deadly team of perfect soldiers in a struggle that pits man against machine and good against evil.,1999-08-05,Jean ClaudeVanDamme KianaTom BillGoldberg MichaelJaiWhite,/qlcPJK0Me8aUtDPwk3TqN2RdKH4.jpg
8411,1957,Enough,Drama Thriller,Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch the man of her dreams. After the arrival of their first child her picture perfect life is shattered when she discovers Mitch's hidden possessive dark side a controlling and abusive alter ego that can turn trust love and tranquility into terror. Terrified for her child's safety Slim flees with her daughter. Relentless in his pursuit and enlisting the aid of lethal henchmen Mitch continually stalks the prey that was once his family.,2002-05-21,JenniferLopez BillyCampbell JulietteLewis DanFutterman FredWard,/4glaIcIRw0IVmQKWYVK6CIo0zaU.jpg
8412,513576,Always Be My Maybe,Romance Comedy,Reunited after 15 years famous chef Sasha and hometown musician Marcus feel the old sparks of attraction but struggle to adapt to each other's worlds.,2019-05-31,AliWong RandallPark KeanuReeves JamesSaito MichelleButeau,/3BO6pPa7qDcpPYct061Luh9fvst.jpg
8417,612,Munich,Drama Action History Thriller,During the 1972 Olympic Games in Munich eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.,2005-12-23,EricBana DanielCraig CiaránHinds MathieuKassovitz HannsZischler,/iUekaw96QLInZpsNwRTlRKrZgwm.jpg
8418,11866,Flight of the Phoenix,Action Adventure Drama Thriller,When an oil rig in the Gobi Desert of Mongolia proves unproductive an aircraft crew are sent to shut the operation down and fly them out. On the flight out over the desert on the way to Beijing Capt. Frank Towns and co-pilot A.J. are unable to keep their cargo plane a C-119 Flying Boxcar in the air when a violent sandstorm strikes. Crash-landing in a remote uncharted part of the desert the two pilots and their passengers -- a crew of oil workers and a drifter -- must work together to survive by rebuilding the aircraft. Soon low supplies and a band of merciless smugglers add even greater urgency to their task.,2004-12-17,DennisQuaid TyreseGibson GiovanniRibisi MirandaOtto TonyCurran,/pcj6unMsKCw0ogWFlUXmbc9gKap.jpg
8422,21778,RRRrrrr!!!,Comedy,37 000 years ago two neighboring tribes lived in peace ... not fully in peace. While the tribe clean hair flowed peaceful days by keeping to herself the secret formula shampoo Tribe Hair Sales lamented. Its leader decided to send a spy to steal the recipe ...,2004-01-28,MauriceBarthélemy MarinaFoïs EliseLarnicol Pierre FrançoisMartin,/qsGU6myn85MfqpNAxzJtxJ3VgrM.jpg
8423,9966,The Messengers,Mystery Thriller Horror,When the Solomons trade in the craziness of big-city life for the quiet of a North Dakota farm little do they expect the nightmare that follows. Soon after arriving teenage Jess (Kristen Stewart) and her younger brother see terrifying apparitions and endure attacks from a supernatural source. Jess must warn her disbelieving family before it is too late to save them.,2007-02-02,KristenStewart DylanMcDermott PenelopeAnnMiller JohnCorbett WilliamB.Davis,/kLmurNcnkmdPahLc6HKQjX3EHed.jpg
8424,269795,2:22,Science Fiction Mystery Thriller Romance,Two planes almost collide after a blinding flash of light paralyzes air traffic controller Dylan Branson for a few seconds. Suspended from his job Dylan starts to notice an ominous pattern of sounds and events that repeats itself in exactly the same manner every day ending precisely at 2:22 p.m. Also drawn into a complex relationship with a woman Dylan must figure out a way to break the power of the past and take control of time itself.,2017-06-29,MichielHuisman TeresaPalmer SamReid JohnWaters KerryArmstrong,/rj0h3RnKX5CB8X5UE1PfpMSV4MP.jpg
8425,13018,Deception,Thriller Mystery,As a corporate auditor who works in a number of different offices Jonathan McQuarry wanders without an anchor among New York's power brokers. A chance meeting with charismatic lawyer Wyatt Bose leads to Jonathan's introduction to The List an underground sex club. Jonathan begins an affair with a woman known only as S who introduces Jonathan to a world of treachery and murder.,2008-04-24,HughJackman EwanMcGregor MichelleWilliams NatashaHenstridge BruceAltman,/lfkdTvfmaqlGiHymJl6EAdIaN1J.jpg
8428,9037,Grease 2,Comedy Music Romance,It's 1961 two years after the original Grease gang graduated and there's a new crop of seniors and new members of the coolest cliques on campus the Pink Ladies and T-Birds. Michael Carrington is the new kid in school - but he's been branded a brainiac. Can he fix up an old motorcycle don a leather jacket avoid a rumble with the leader of the T-Birds and win the heart of Pink Lady Stephanie?,1982-06-11,MaxwellCaulfield MichellePfeiffer LornaLuft MaureenTeefy AlisonPrice,/ufWc8AR5D66lwB2UZvZ9xvGcDSD.jpg
8429,8852,Prince of Darkness,Horror,A research team finds a mysterious cylinder in a deserted church. If opened it could mean the end of the world.,1987-10-23,DonaldPleasence LisaBlount VictorWong JamesonParker DennisDun,/jjcAOhtGuX4p8XvlVn1WXUT1jWi.jpg
